Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/util_fmcjesdadc1_xcvr_rx_out_clk_0,i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_data[63:0],i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_en,i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_sync,i_system_wrapper/system_i/axi_ad9250_core_adc_clk,i_system_wrapper/system_i/axi_ad9250_core_rx_ready,i_system_wrapper/system_i/axi_ad9250_core_adc_valid_a,i_system_wrapper/system_i/axi_ad9250_dma_irq,i_system_wrapper/system_i/sys_concat_intc_dout[15:0],data_a_low[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_a[31:0],data_a_high[13:0],data_b_high[31:0],data_b_low[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_b[31:0],data_b_high'[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED,HEX,SIGNED,HEX,SIGNED,HEX,SIGNED
142,142,0,0,0d10f2df0da3f24c,1,1,0,1,1,1,1000,-3244,f3dff354,-3105,0c120c9d,3229,0c120c9d,3090
143,143,0,0,0c12f3df0c9df354,1,1,0,1,1,1,1000,-2962,f4e6f46e,-2842,0b0e0b83,2947,0b0e0b83,2830
144,144,0,0,0b0ef4e60b83f46e,1,1,0,1,1,1,1000,-2696,f60cf578,-2548,09e90a7a,2682,09e90a7a,2537
145,145,0,0,09e9f60c0a7af578,1,1,0,1,1,1,1000,-2412,f737f694,-2249,08c30963,2403,08c30963,2243
146,146,0,0,08c3f7370963f694,1,1,0,1,1,1,1000,-2094,f865f7d2,-1947,079a082c,2092,079a082c,1946
147,147,0,0,079af865082cf7d2,1,1,0,1,1,1,1000,-1782,f9aef90a,-1618,065306f5,1781,065306f5,1619
148,148,0,0,0653f9ae06f5f90a,1,1,0,1,1,1,1000,-1450,fae1fa56,-1311,052205ac,1452,052205ac,1314
149,149,0,0,0522fae105acfa56,1,1,0,1,1,1,1000,-1131,fc38fb95,-968,03cb0471,1137,03cb0471,971
150,150,0,0,03cbfc380471fb95,1,1,0,1,1,1,1000,-820,fd80fccc,-640,028c033b,827,028c033b,652
151,151,0,0,028cfd80033bfccc,1,1,0,1,1,1,1000,-473,febdfe27,-323,014f01e2,482,014f01e2,335
152,152,0,0,014ffebd01e2fe27,1,1,0,1,1,1,1000,-157,0011ff63,17,fffc00ad,173,fffc00ad,-4
153,153,0,0,fffc001100adff63,1,1,0,1,1,1,1000,181,015e00b5,350,feb4ff60,-160,feb4ff60,-332
154,154,0,0,feb4015eff6000b5,1,1,0,1,1,1,1000,504,02c101f8,705,fd55fe1a,-486,fd55fe1a,-683
155,155,0,0,fd5502c1fe1a01f8,1,1,0,1,1,1,1000,868,03f40364,1012,fc25fcb3,-845,fc25fcb3,-987
156,156,0,0,fc2503f4fcb30364,1,1,0,1,1,1,1000,1185,053004a1,1328,fae8fb7b,-1157,fae8fb7b,-1304
